instance,nb_nodes,nb_arcs,bgl_time_ms,bgl_csr_time_ms,lemon_time_ms,melon_time_ms
NY-dist, 264346, 733846, 35.4464, 27.795, 24.7234, 16.538
NY-time, 264346, 733846, 38.9559, 31.622, 27.7927, 18.6164
BAY-dist, 321270, 800172, 42.7567, 32.8513, 29.1628, 19.6873
BAY-time, 321270, 800172, 46.4405, 37.0298, 32.7932, 21.8429
COL-dist, 435666, 1057066, 57.685, 44.7604, 40.1094, 27.975
COL-time, 435666, 1057066, 61.4263, 49.1986, 43.5079, 29.7897
FLA-dist, 1070376, 2712798, 138.736, 105.873, 98.8919, 65.3186
FLA-time, 1070376, 2712798, 151.208, 118.692, 108.661, 72.0795
NW-dist, 1207945, 2840208, 172.12, 136.731, 120.76, 83.5116
NW-time, 1207945, 2840208, 189.981, 154.701, 133.747, 91.8707
NE-dist, 1524453, 3897636, 248.788, 201.712, 176.553, 122.436
NE-time, 1524453, 3897636, 277.105, 228.739, 194.576, 141.206
